date,usd_flow,nav,perf_pct,cumulative_flow,daily_inflow,daily_outflow
2021-01-04,301000.0,70.11,0.04963,301000.0,301000.0,0.0
2021-01-05,0.0,79.76,0.137704,301000.0,0.0,0.0
2021-01-06,-5498000.0,80.86,0.013697,-5197000.0,0.0,-5498000.0
2021-01-07,-1470000.0,81.65,0.009767,-6667000.0,0.0,-1470000.0
2021-01-08,-353000.0,78.55,-0.037919,-7020000.0,0.0,-353000.0
2021-01-11,-809000.0,82.69,0.05264,-7829000.0,0.0,-809000.0
2021-01-12,356000.0,83.05,0.004457,-7473000.0,356000.0,0.0
2021-01-13,0.0,81.4,-0.019924,-7473000.0,0.0,0.0
2021-01-14,-2517000.0,76.03,-0.065974,-9990000.0,0.0,-2517000.0
2021-01-15,0.0,81.75,0.075187,-9990000.0,0.0,0.0
2021-01-20,-869000.0,66.84,-0.182331,-10859000.0,0.0,-869000.0
2021-01-21,710000.0,64.0,-0.042499,-10149000.0,710000.0,0.0
2021-01-22,3528000.0,60.83,-0.049525,-6621000.0,3528000.0,0.0
2021-01-25,1071000.0,71.37,0.17322,-5550000.0,1071000.0,0.0
2021-01-26,447000.0,74.5,0.043824,-5103000.0,447000.0,0.0
2021-01-27,-1602000.0,80.08,0.075016,-6705000.0,0.0,-1602000.0
2021-01-29,-4307000.0,68.06,-0.15012,-11012000.0,0.0,-4307000.0
2021-02-01,-1181000.0,90.81,0.334249,-12193000.0,0.0,-1181000.0
2021-02-03,-2639000.0,85.38,-0.059829,-14832000.0,0.0,-2639000.0
2021-02-04,-1653000.0,97.24,0.138961,-16485000.0,0.0,-1653000.0
2021-02-05,-735000.0,91.9,-0.054905,-17220000.0,0.0,-735000.0
2021-02-08,0.0,93.93,0.022107,-17220000.0,0.0,0.0
2021-02-09,-4053000.0,90.07,-0.041165,-21273000.0,0.0,-4053000.0
2021-02-10,0.0,95.42,0.059436,-21273000.0,0.0,0.0
2021-02-11,911000.0,91.14,-0.044815,-20362000.0,911000.0,0.0
2021-02-12,562000.0,95.01,0.042378,-19800000.0,562000.0,0.0
2021-02-16,1065000.0,105.58,0.1113,-18735000.0,1065000.0,0.0
2021-02-17,-2381000.0,110.76,0.049044,-21116000.0,0.0,-2381000.0
2021-02-18,-3327000.0,103.97,-0.061334,-24443000.0,0.0,-3327000.0
2021-02-19,425000.0,106.15,0.020978,-24018000.0,425000.0,0.0
2021-02-22,-903000.0,100.29,-0.055143,-24921000.0,0.0,-903000.0
2021-02-23,-138000.0,92.19,-0.080816,-25059000.0,0.0,-138000.0
2021-02-24,1551000.0,86.16,-0.06541,-23508000.0,1551000.0,0.0
2021-02-25,0.0,84.51,-0.019111,-23508000.0,0.0,0.0
2021-02-26,592000.0,84.51,-7.7e-05,-22916000.0,592000.0,0.0
2021-03-01,0.0,85.3,0.00938,-22916000.0,0.0,0.0
2021-03-02,1809000.0,90.47,0.060593,-21107000.0,1809000.0,0.0
2021-03-03,616000.0,88.01,-0.027209,-20491000.0,616000.0,0.0
2021-03-04,-654000.0,81.7,-0.071676,-21145000.0,0.0,-654000.0
2021-03-05,-156000.0,77.99,-0.045377,-21301000.0,0.0,-156000.0
2021-03-08,0.0,74.53,-0.044311,-21301000.0,0.0,0.0
2021-03-09,1115000.0,74.33,-0.002714,-20186000.0,1115000.0,0.0
2021-03-10,616000.0,76.99,0.035748,-19570000.0,616000.0,0.0
2021-03-11,0.0,74.9,-0.02711,-19570000.0,0.0,0.0
2021-03-12,348000.0,69.6,-0.070726,-19222000.0,348000.0,0.0
2021-03-15,0.0,61.14,-0.121541,-19222000.0,0.0,0.0
2021-03-16,0.0,65.96,0.078809,-19222000.0,0.0,0.0
2021-03-17,0.0,62.9,-0.046417,-19222000.0,0.0,0.0
2021-03-18,897000.0,59.79,-0.049451,-18325000.0,897000.0,0.0
2021-03-19,2097000.0,63.56,0.062968,-16228000.0,2097000.0,0.0
2021-03-22,672000.0,67.17,0.056912,-15556000.0,672000.0,0.0
2021-03-23,408000.0,62.72,-0.066263,-15148000.0,408000.0,0.0
2021-03-24,510000.0,63.8,0.017128,-14638000.0,510000.0,0.0
2021-03-25,-604000.0,67.14,0.052389,-15242000.0,0.0,-604000.0
2021-03-26,0.0,67.36,0.003289,-15242000.0,0.0,0.0
2021-03-29,0.0,69.53,0.032241,-15242000.0,0.0,0.0
2021-03-30,-742000.0,67.45,-0.029992,-15984000.0,0.0,-742000.0
2021-03-31,-531000.0,66.38,-0.015733,-16515000.0,0.0,-531000.0
2021-04-01,-480000.0,68.62,0.033661,-16995000.0,0.0,-480000.0
2021-04-05,0.0,59.82,-0.128181,-16995000.0,0.0,0.0
2021-04-06,0.0,56.62,-0.053517,-16995000.0,0.0,0.0
2021-04-07,486000.0,60.7,0.072074,-16509000.0,486000.0,0.0
2021-04-08,-246000.0,61.4,0.011473,-16755000.0,0.0,-246000.0
2021-04-09,1226000.0,61.28,-0.001915,-15529000.0,1226000.0,0.0
2021-04-12,0.0,63.94,0.043407,-15529000.0,0.0,0.0
2021-04-13,0.0,67.54,0.056292,-15529000.0,0.0,0.0
2021-04-14,-874000.0,67.26,-0.004196,-16403000.0,0.0,-874000.0
2021-04-15,1250000.0,69.43,0.032347,-15153000.0,1250000.0,0.0
2021-04-16,0.0,71.21,0.025588,-15153000.0,0.0,0.0
2021-04-19,-754000.0,75.42,0.059141,-15907000.0,0.0,-754000.0
2021-04-20,-746000.0,74.55,-0.011509,-16653000.0,0.0,-746000.0
2021-04-21,0.0,72.37,-0.029302,-16653000.0,0.0,0.0
2021-04-22,0.0,76.33,0.054731,-16653000.0,0.0,0.0
2021-04-23,-677000.0,75.22,-0.014568,-17330000.0,0.0,-677000.0
2021-04-26,0.0,79.19,0.05281,-17330000.0,0.0,0.0
2021-04-27,0.0,84.04,0.061249,-17330000.0,0.0,0.0
2021-04-28,0.0,85.38,0.015943,-17330000.0,0.0,0.0
2021-04-29,-649000.0,81.12,-0.049881,-17979000.0,0.0,-649000.0
2021-04-30,-1403000.0,82.51,0.017137,-19382000.0,0.0,-1403000.0
2021-05-03,0.0,85.48,0.03603,-19382000.0,0.0,0.0
2021-05-04,-1706000.0,85.31,-0.002075,-21088000.0,0.0,-1706000.0
2021-05-05,-497000.0,82.75,-0.029949,-21585000.0,0.0,-497000.0
2021-05-06,0.0,82.08,-0.008128,-21585000.0,0.0,0.0
2021-05-07,0.0,84.56,0.030191,-21585000.0,0.0,0.0
2021-05-10,1565000.0,82.36,-0.025983,-20020000.0,1565000.0,0.0
2021-05-11,-1682000.0,84.09,0.021055,-21702000.0,0.0,-1682000.0
2021-05-12,0.0,85.68,0.018899,-21702000.0,0.0,0.0
2021-05-13,649000.0,86.48,0.009239,-21053000.0,649000.0,0.0
2021-05-14,0.0,85.87,-0.006993,-21053000.0,0.0,0.0
2021-05-17,-685000.0,97.84,0.139391,-21738000.0,0.0,-685000.0
2021-05-18,-905000.0,90.52,-0.07483,-22643000.0,0.0,-905000.0
2021-05-19,-1033000.0,86.12,-0.048611,-23676000.0,0.0,-1033000.0
2021-05-20,-1082000.0,83.22,-0.033614,-24758000.0,0.0,-1082000.0
2021-05-21,-7000.0,82.3,-0.011049,-24765000.0,0.0,-7000.0
2021-05-24,7000.0,80.88,-0.017249,-24758000.0,7000.0,0.0
2021-05-25,287000.0,82.02,0.01402,-24471000.0,287000.0,0.0
2021-05-26,0.0,86.29,0.052037,-24471000.0,0.0,0.0
2021-05-27,0.0,80.58,-0.066077,-24471000.0,0.0,0.0
2021-05-28,0.0,82.93,0.029133,-24471000.0,0.0,0.0
2021-06-01,742000.0,92.75,0.118383,-23729000.0,742000.0,0.0
2021-06-02,989000.0,89.9,-0.030783,-22740000.0,989000.0,0.0
2021-06-03,-1303000.0,86.84,-0.034022,-24043000.0,0.0,-1303000.0
2021-06-04,-915000.0,91.51,0.053868,-24958000.0,0.0,-915000.0
2021-06-07,0.0,89.29,-0.024308,-24958000.0,0.0,0.0
2021-06-08,0.0,93.69,0.049278,-24958000.0,0.0,0.0
2021-06-09,564000.0,94.08,0.004127,-24394000.0,564000.0,0.0
2021-06-10,0.0,95.99,0.020364,-24394000.0,0.0,0.0
2021-06-11,-1091000.0,109.05,0.136078,-25485000.0,0.0,-1091000.0
2021-06-14,-857000.0,114.28,0.047922,-26342000.0,0.0,-857000.0
2021-06-15,0.0,103.03,-0.098467,-26342000.0,0.0,0.0
2021-06-16,-1567000.0,104.45,0.013795,-27909000.0,0.0,-1567000.0
