date,usd_flow,nav,perf_pct,cumulative_flow,daily_inflow,daily_outflow
2021-01-04,-1000.0,11.92,-0.033422,-1000.0,0.0,-1000.0
2021-01-05,1000.0,10.81,-0.093015,0.0,1000.0,0.0
2021-01-06,0.0,10.7,-0.010523,0.0,0.0,0.0
2021-01-07,5010000.0,10.6,-0.009709,5010000.0,5010000.0,0.0
2021-01-08,5116000.0,10.83,0.022176,10126000.0,5116000.0,0.0
2021-01-11,0.0,10.45,-0.035469,10126000.0,0.0,0.0
2021-01-12,1638000.0,10.41,-0.003436,11764000.0,1638000.0,0.0
2021-01-13,6646000.0,10.55,0.013148,18410000.0,6646000.0,0.0
2021-01-14,0.0,11.01,0.043569,18410000.0,0.0,0.0
2021-01-15,-1641000.0,10.45,-0.050988,16769000.0,0.0,-1641000.0
2021-01-18,-1637000.0,10.44,-0.000258,15132000.0,0.0,-1637000.0
2021-01-19,0.0,11.74,0.124056,15132000.0,0.0,0.0
2021-01-20,-9523000.0,12.03,0.02488,5609000.0,0.0,-9523000.0
2021-01-21,0.0,12.03,0.0,5609000.0,0.0,0.0
2021-01-25,-3449000.0,10.99,-0.087032,2160000.0,0.0,-3449000.0
2021-01-26,-2520000.0,10.66,-0.029267,-360000.0,0.0,-2520000.0
2021-01-27,1582000.0,10.12,-0.050555,1222000.0,1582000.0,0.0
2021-01-28,1687000.0,10.41,0.028021,2909000.0,1687000.0,0.0
2021-01-29,2802000.0,11.19,0.074797,5711000.0,2802000.0,0.0
2021-02-01,2298000.0,8.69,-0.223497,8009000.0,2298000.0,0.0
2021-02-02,0.0,8.72,0.003373,8009000.0,0.0,0.0
2021-02-03,12752000.0,9.06,0.039147,20761000.0,12752000.0,0.0
2021-02-04,5812000.0,8.1,-0.1053,26573000.0,5812000.0,0.0
2021-02-05,-2655000.0,8.46,0.04455,23918000.0,0.0,-2655000.0
2021-02-08,17033000.0,8.34,-0.014165,40951000.0,17033000.0,0.0
2021-02-09,-4057000.0,8.58,0.028366,36894000.0,0.0,-4057000.0
2021-02-10,-1298000.0,8.24,-0.039773,35596000.0,0.0,-1298000.0
2021-02-11,-5343000.0,8.49,0.02977,30253000.0,0.0,-5343000.0
2021-02-12,7922000.0,8.24,-0.02865,38175000.0,7922000.0,0.0
2021-02-16,-2404000.0,7.63,-0.074533,35771000.0,0.0,-2404000.0
2021-02-17,2323000.0,7.38,-0.033037,38094000.0,2323000.0,0.0
2021-02-18,10656000.0,7.68,0.040728,48750000.0,10656000.0,0.0
2021-02-19,9595000.0,7.57,-0.014408,58345000.0,9595000.0,0.0
2021-02-22,0.0,7.84,0.036481,58345000.0,0.0,0.0
2021-02-23,3020000.0,8.26,0.053689,61365000.0,3020000.0,0.0
2021-02-24,-1378000.0,8.62,0.04305,59987000.0,0.0,-1378000.0
2021-02-25,-8311000.0,8.73,0.012775,51676000.0,0.0,-8311000.0
2021-02-26,-4816000.0,8.76,0.004021,46860000.0,0.0,-4816000.0
2021-03-01,0.0,8.72,-0.004507,46860000.0,0.0,0.0
2021-03-02,-2639000.0,8.33,-0.044682,44221000.0,0.0,-2639000.0
2021-03-03,0.0,8.47,0.016091,44221000.0,0.0,0.0
2021-03-04,4912000.0,8.89,0.049704,49133000.0,4912000.0,0.0
2021-03-05,0.0,9.17,0.031769,49133000.0,0.0,0.0
2021-03-08,-1489000.0,9.43,0.028447,47644000.0,0.0,-1489000.0
2021-03-09,-7473000.0,9.45,0.001336,40171000.0,0.0,-7473000.0
2021-03-10,-1461000.0,9.22,-0.023843,38710000.0,0.0,-1461000.0
2021-03-11,0.0,9.39,0.01807,38710000.0,0.0,0.0
2021-03-12,-1000.0,9.85,0.048943,38709000.0,0.0,-1000.0
2021-03-15,-5141000.0,10.69,0.085549,33568000.0,0.0,-5141000.0
2021-03-17,-10884000.0,10.39,-0.028274,22684000.0,0.0,-10884000.0
2021-03-18,3440000.0,10.74,0.034431,26124000.0,3440000.0,0.0
2021-03-19,0.0,10.27,-0.04411,26124000.0,0.0,0.0
2021-03-22,-3144000.0,9.84,-0.041579,22980000.0,0.0,-3144000.0
2021-03-23,4104000.0,10.33,0.049753,27084000.0,4104000.0,0.0
2021-03-24,1624000.0,10.22,-0.011091,28708000.0,1624000.0,0.0
2021-03-25,0.0,9.83,-0.037699,28708000.0,0.0,0.0
2021-03-26,-1558000.0,9.81,-0.002624,27150000.0,0.0,-1558000.0
2021-03-29,-1000.0,9.55,-0.026176,27149000.0,0.0,-1000.0
2021-03-30,0.0,9.77,0.022555,27149000.0,0.0,0.0
2021-03-31,1572000.0,9.88,0.011254,28721000.0,1572000.0,0.0
2021-04-01,1000.0,9.64,-0.024151,28722000.0,1000.0,0.0
2021-04-05,1686000.0,10.57,0.096567,30408000.0,1686000.0,0.0
2021-04-06,1000.0,11.03,0.043833,30409000.0,1000.0,0.0
2021-04-07,-14921000.0,10.45,-0.052472,15488000.0,0.0,-14921000.0
2021-04-08,-1659000.0,10.42,-0.003234,13829000.0,0.0,-1659000.0
2021-04-12,1609000.0,10.1,-0.030188,15438000.0,1609000.0,0.0
2021-04-13,1000.0,9.7,-0.040184,15439000.0,1000.0,0.0
2021-04-14,1553000.0,9.72,0.002083,16992000.0,1553000.0,0.0
2021-04-15,9040000.0,9.45,-0.027651,26032000.0,9040000.0,0.0
2021-04-16,0.0,9.28,-0.017885,26032000.0,0.0,0.0
2021-04-19,2822000.0,8.85,-0.046789,28854000.0,2822000.0,0.0
2021-04-20,4820000.0,8.94,0.010581,33674000.0,4820000.0,0.0
2021-04-21,2915000.0,9.11,0.018939,36589000.0,2915000.0,0.0
