#,Trough Date,Trough Price,Peak Date,Peak Price,% Gain,Days,Gap,Trough Exact Vol,Trough ±3d Avg Vol,Trough -3d Avg Vol,Trough +3d Avg Vol,Trough Trail 30d Vol,Trough Trail 60d Vol,Trough Trail 90d Vol,Trough Trail 120d Vol,Trough Trail 150d Vol,Trough Trail 180d Vol,Peak Exact Vol,Peak ±3d Avg Vol,Peak -3d Avg Vol,Peak +3d Avg Vol,Peak Trail 30d Vol,Peak Trail 60d Vol,Peak Trail 90d Vol,Peak Trail 120d Vol,Peak Trail 150d Vol,Peak Trail 180d Vol
1,2008-01-16,570528000.0000,2008-07-03,1380960000.0000,142.05,169,--,0,0,--,0,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0
2,2009-03-18,57312000.0000,2009-03-24,77472000.0000,35.18,6,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2009-04-29,39888000.0000,2009-05-12,69408000.0000,74.01,13,36,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
4,2009-05-22,42264000.0000,2009-06-01,56664000.0000,34.07,10,10,1,1,1,1,0,0,0,0,0,0,2,2,1,2,0,0,0,0,0,0
5,2009-07-13,28872000.0000,2009-08-05,38736000.0000,34.16,23,42,2,2,1,2,2,1,1,1,0,0,3,3,4,3,2,2,1,1,1,1
6,2009-09-03,11880000.0000,2009-10-05,24840000.0000,109.09,32,29,5,5,4,6,3,3,2,2,1,1,5,5,5,4,6,4,3,3,2,2
7,2009-12-03,11347200.0000,2010-01-06,19036800.0000,67.77,34,59,5,6,7,6,4,5,4,4,3,3,7,6,5,6,5,4,5,4,4,3
8,2010-05-06,7113600.0000,2010-06-15,11620800.0000,63.36,40,120,7,5,4,5,5,4,4,4,4,4,3,3,3,3,5,5,4,4,4,4
9,2010-10-22,3916800.0000,2011-01-21,5443200.0000,38.97,91,129,5,7,7,7,9,7,6,5,5,5,6,9,11,8,12,10,10,9,8,7
10,2011-03-03,3369600.0000,2011-06-08,4831200.0000,43.38,97,41,7,7,7,7,8,10,9,9,8,8,3,4,5,5,6,6,7,8,8,8
11,2012-01-19,752400.0000,2012-01-25,1038600.0000,38.04,6,225,30,25,17,30,19,13,10,9,8,8,38,34,30,36,19,14,11,9,9,8
12,2012-04-19,358200.0000,2012-05-18,643500.0000,79.65,29,85,39,35,32,36,19,26,24,20,17,15,100,76,85,60,37,31,31,27,23,20
13,2012-06-13,389700.0000,2012-07-31,770400.0000,97.69,48,26,33,52,47,62,55,38,36,32,29,25,59,44,36,46,47,50,42,39,36,32
14,2012-08-28,490050.0000,2012-10-11,823500.0000,68.04,44,28,31,47,61,38,40,44,47,40,39,35,43,34,32,32,40,40,43,45,40,39
